" ""VIRGINIA EGGERTSEN SORENSEN""",
" ""DONALD STUART STRONG""",
" ""OPAL B. WELLS""",
" ""GARET VAN ANTWERP ALDRIDGE""",
" ""MEL ALLEN""",https://en.wikipedia.org/wiki/Mel_Allen
" ""VAN ALLEN BRADLEY""",
" ""WARNER W. CARLSON""",
" ""NELLA JEAN CHAMBERS""",
" ""PAUL LIVINGSTONE CLEM""",
" ""MARY BIVINS GERON COUNTESS""",
" ""WILLIAM H. DAVIDSON""",
" ""CARL ATWOOD ELLIOTT""",https://en.wikipedia.org/wiki/Carl_Elliott
" ""HELEN FULLER""",
" "" ROBERT L. GLYNN""",
" ""ERNEST CROUSE IKENBERRY""",
" ""GEORGE EVERARD KIDDER SMITH""",
" ""JOSEPH FRANCES VOLKER""",
" ""KENNETH R. WHITING""",
" ""SALLY LEE WOODALL""",
" ""HAROLD SYLVESTER COULTER""",
" ""ANDREW EDINGTON""",
" ""DOROTHEA WARREN FOX""",
" ""DENSON NAULS FRANKLIN""",
" ""OLA McDILL McCOWN GASSMAN""",
" ""RUTH THOMAS HALBROOKS""",
